Name;Source Name;M;M1;N;X0;eps;h;n;r0;repetition;rho;sigma;tipo;average;max;min;timeSGD
N:200-n:3-r0:1-rho:0.7-M:1;KSS_review.py;1;1000000;200;0,5;0,01;0,01;3;1;100;0,7;0,5;lagrange;;;;
N:200-n:3-r0:1-rho:0.6-M:10000;KSS_review.py;10000;1000000;200;0,5;0,01;0,01;3;1;100;0,6;0,5;lagrange;2,63;6;2;0,968653821
N:200-n:3-r0:1-rho:0.6-M:1000;KSS_review.py;1000;1000000;200;0,5;0,01;0,01;3;1;100;0,6;0,5;lagrange;6,11;33;2;0,194927599
N:200-n:3-r0:1-rho:0.6-M:100;KSS_review.py;100;1000000;200;0,5;0,01;0,01;3;1;100;0,6;0,5;lagrange;22,93;129;2;0,155334089
N:200-n:3-r0:1-rho:0.6-M:10;KSS_review.py;10;1000000;200;0,5;0,01;0,01;3;1;100;0,6;0,5;lagrange;126,97;989;10;0,570719018
N:200-n:3-r0:1-rho:0.6-M:1;KSS_review.py;1;1000000;200;0,5;0,01;0,01;3;1;100;0,6;0,5;lagrange;1069,28;3735;149;379.629.557.430.002
N:100-n:8-r0:10-rho:0.9-M:10000;KSS_review.py;10000;1000000;100;0,5;0,01;0,01;8;10;100;0,9;0,5;lagrange;4;4;4;13.111.730.836.700.000
N:100-n:8-r0:10-rho:0.9-M:1000;KSS_review.py;1000;1000000;100;0,5;0,01;0,01;8;10;100;0,9;0,5;lagrange;5,11;16;3;0,122400231
N:100-n:8-r0:10-rho:0.9-M:100;KSS_review.py;100;1000000;100;0,5;0,01;0,01;8;10;100;0,9;0,5;lagrange;22,35;213;5;0,085848273
N:100-n:8-r0:10-rho:0.9-M:10;KSS_review.py;10;1000000;100;0,5;0,01;0,01;8;10;100;0,9;0,5;lagrange;132,53;397;16;0,30935245
N:100-n:8-r0:10-rho:0.9-M:1;KSS_review.py;1;1000000;100;0,5;0,01;0,01;8;10;100;0,9;0,5;lagrange;973,04;3661;145;178.546.030.529.993
N:100-n:8-r0:10-rho:0.8-M:10000;KSS_review.py;10000;1000000;100;0,5;0,01;0,01;8;10;100;0,8;0,5;lagrange;4,02;6;4;13.087.474.974.199.700
N:100-n:8-r0:10-rho:0.8-M:1000;KSS_review.py;1000;1000000;100;0,5;0,01;0,01;8;10;100;0,8;0,5;lagrange;5,2;9;4;0,124118589
N:100-n:8-r0:10-rho:0.8-M:100;KSS_review.py;100;1000000;100;0,5;0,01;0,01;8;10;100;0,8;0,5;lagrange;17,94;53;5;0,067957346
N:100-n:8-r0:10-rho:0.8-M:10;KSS_review.py;10;1000000;100;0,5;0,01;0,01;8;10;100;0,8;0,5;lagrange;139,21;523;23;0,323090398
N:100-n:8-r0:10-rho:0.8-M:1;KSS_review.py;1;1000000;100;0,5;0,01;0,01;8;10;100;0,8;0,5;lagrange;1100,15;3009;136;19.944.522.185.499.900
N:100-n:8-r0:10-rho:0.7-M:10000;KSS_review.py;10000;1000000;100;0,5;0,01;0,01;8;10;100;0,7;0,5;lagrange;4,57;5;4;14.926.216.976.200.500
N:100-n:8-r0:10-rho:0.7-M:1000;KSS_review.py;1000;1000000;100;0,5;0,01;0,01;8;10;100;0,7;0,5;lagrange;6,11;17;4;0,144319526
N:100-n:8-r0:10-rho:0.7-M:100;KSS_review.py;100;1000000;100;0,5;0,01;0,01;8;10;100;0,7;0,5;lagrange;22,51;48;6;0,086759704
N:100-n:8-r0:10-rho:0.7-M:10;KSS_review.py;10;1000000;100;0,5;0,01;0,01;8;10;100;0,7;0,5;lagrange;157,57;404;40;0,372977715
N:100-n:8-r0:10-rho:0.7-M:1;KSS_review.py;1;1000000;100;0,5;0,01;0,01;8;10;100;0,7;0,5;lagrange;1602,05;4339;348;2.905.045.171.100.060
N:100-n:8-r0:10-rho:0.6-M:10000;KSS_review.py;10000;1000000;100;0,5;0,01;0,01;8;10;100;0,6;0,5;lagrange;5,17;6;5;1.699.225.197.170.010
N:100-n:8-r0:10-rho:0.6-M:1000;KSS_review.py;1000;1000000;100;0,5;0,01;0,01;8;10;100;0,6;0,5;lagrange;7,08;15;5;0,165455107
N:100-n:8-r0:10-rho:0.6-M:100;KSS_review.py;100;1000000;100;0,5;0,01;0,01;8;10;100;0,6;0,5;lagrange;26,02;62;6;0,099740539
N:100-n:8-r0:10-rho:0.6-M:10;KSS_review.py;10;1000000;100;0,5;0,01;0,01;8;10;100;0,6;0,5;lagrange;213,95;710;36;0,498343072
