Name;K;M;M1;N;N1;T;X0;eps;h;n;r0;repetition;rho;sigma;tau;tipo;average;max;min;timeSGD
r0:1-rho:0.6-M:100-K:0-tau:0.1-n:3;0;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,6;0,5;0,1;lagrange;12;22;6;0,080626113
r0:1-rho:0.6-M:100-K:0.001-tau:0.1-n:3;0,001;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,6;0,5;0,1;lagrange;12,8;35;2;0,085654811
r0:1-rho:0.6-M:100-K:0.0005-tau:0.5-n:3;0,0005;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,6;0,5;0,5;lagrange;13;47;3;0,087238409
r0:1-rho:0.7-M:100-K:0.001-tau:1-n:3;0,001;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,7;0,5;1;lagrange;13,1;57;3;0,087389069
r0:1-rho:0.7-M:100-K:0.0003-tau:0.5-n:3;0,0003;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,7;0,5;0,5;lagrange;14,1;26;2;0,094065288
r0:1-rho:0.7-M:100-K:0.0005-tau:0.5-n:3;0,0005;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,7;0,5;0,5;lagrange;14,3;31;6;0,095481471
r0:1-rho:0.7-M:100-K:0.001-tau:0.1-n:4;0,001;100;1000000;200;200;2;0,5;0,01;0,01;4;1;10;0,7;0,5;0,1;lagrange;14,4;31;6;0,098796896
r0:1-rho:0.6-M:100-K:0.0007-tau:0.1-n:3;0,0007;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,6;0,5;0,1;lagrange;14,4;31;5;0,09632673
r0:1-rho:0.6-M:100-K:0.0007-tau:1-n:7;0,0007;100;1000000;200;200;2;0,5;0,01;0,01;7;1;10;0,6;0,5;1;lagrange;14,5;20;9;0,10787193
r0:1-rho:0.6-M:100-K:0.0003-tau:0.5-n:3;0,0003;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,6;0,5;0,5;lagrange;14,6;39;5;0,097745136
r0:1-rho:0.7-M:100-K:0.001-tau:1-n:4;0,001;100;1000000;200;200;2;0,5;0,01;0,01;4;1;10;0,7;0,5;1;lagrange;15,4;43;5;0,105754163
r0:1-rho:0.6-M:100-K:0.0007-tau:0.5-n:3;0,0007;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,6;0,5;0,5;lagrange;15,4;35;3;0,103264972
r0:1-rho:0.7-M:100-K:0-tau:1-n:3;0;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,7;0,5;1;lagrange;15,6;32;5;0,105028964
r0:1-rho:0.7-M:100-K:0-tau:0.1-n:3;0;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,7;0,5;0,1;lagrange;15,9;62;3;0,10629918
r0:1-rho:0.6-M:100-K:0-tau:1-n:5;0;100;1000000;200;200;2;0,5;0,01;0,01;5;1;10;0,6;0,5;1;lagrange;15,9;51;5;0,112933723
r0:1-rho:0.6-M:100-K:0.0007-tau:0.1-n:6;0,0007;100;1000000;200;200;2;0,5;0,01;0,01;6;1;10;0,6;0,5;0,1;lagrange;16,2;38;7;0,117420593
r0:1-rho:0.6-M:100-K:0.0007-tau:1-n:3;0,0007;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,6;0,5;1;lagrange;16,3;37;5;0,110043353
r0:1-rho:0.8-M:100-K:0.001-tau:0.5-n:3;0,001;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,8;0,5;0,5;lagrange;16,4;58;3;0,109982778
r0:1-rho:0.6-M:100-K:0.0005-tau:0.5-n:4;0,0005;100;1000000;200;200;2;0,5;0,01;0,01;4;1;10;0,6;0,5;0,5;lagrange;16,4;32;5;0,113085659
r0:1-rho:0.6-M:100-K:0-tau:1-n:4;0;100;1000000;200;200;2;0,5;0,01;0,01;4;1;10;0,6;0,5;1;lagrange;16,5;25;6;0,113709096
r0:1-rho:0.6-M:100-K:0.0005-tau:0.1-n:4;0,0005;100;1000000;200;200;2;0,5;0,01;0,01;4;1;10;0,6;0,5;0,1;lagrange;16,7;46;5;0,114939932
r0:1-rho:0.6-M:100-K:0.0003-tau:0.1-n:3;0,0003;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,6;0,5;0,1;lagrange;16,9;36;3;0,112922215
r0:1-rho:0.8-M:100-K:0-tau:1-n:3;0;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,8;0,5;1;lagrange;17;46;4;0,113892469
r0:1-rho:0.8-M:100-K:0-tau:0.5-n:3;0;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,8;0,5;0,5;lagrange;17,2;44;4;0,115119151
r0:1-rho:0.8-M:100-K:0.0003-tau:1-n:3;0,0003;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,8;0,5;1;lagrange;18,1;43;3;0,121259524
r0:1-rho:0.6-M:100-K:0.0005-tau:1-n:6;0,0005;100;1000000;200;200;2;0,5;0,01;0,01;6;1;10;0,6;0,5;1;lagrange;18,1;48;6;0,131885441
r0:1-rho:0.6-M:100-K:0.001-tau:0.1-n:4;0,001;100;1000000;200;200;2;0,5;0,01;0,01;4;1;10;0,6;0,5;0,1;lagrange;18,1;33;7;0,124557245
r0:1-rho:0.6-M:100-K:0-tau:0.1-n:4;0;100;1000000;200;200;2;0,5;0,01;0,01;4;1;10;0,6;0,5;0,1;lagrange;18,2;53;4;0,12534585
r0:1-rho:0.6-M:100-K:0.0007-tau:0.5-n:4;0,0007;100;1000000;200;200;2;0,5;0,01;0,01;4;1;10;0,6;0,5;0,5;lagrange;18,5;52;6;0,127288809
r0:1-rho:0.6-M:100-K:0.001-tau:0.5-n:7;0,001;100;1000000;200;200;2;0,5;0,01;0,01;7;1;10;0,6;0,5;0,5;lagrange;18,7;43;7;0,138827188
r0:1-rho:0.9-M:100-K:0-tau:1-n:4;0;100;1000000;200;200;2;0,5;0,01;0,01;4;1;10;0,9;0,5;1;lagrange;19;53;7;0,13010287
r0:1-rho:0.7-M:100-K:0.0005-tau:1-n:6;0,0005;100;1000000;200;200;2;0,5;0,01;0,01;6;1;10;0,7;0,5;1;lagrange;19,2;62;6;0,138854158
r0:1-rho:0.6-M:100-K:0-tau:0.5-n:6;0;100;1000000;200;200;2;0,5;0,01;0,01;6;1;10;0,6;0,5;0,5;lagrange;19,4;40;8;0,140706079
r0:1-rho:0.6-M:100-K:0.001-tau:1-n:6;0,001;100;1000000;200;200;2;0,5;0,01;0,01;6;1;10;0,6;0,5;1;lagrange;19,5;35;7;0,141408081
r0:5-rho:0.8-M:100-K:0.0005-tau:0.1-n:7;0,0005;100;1000000;200;200;2;0,5;0,01;0,01;7;5;10;0,8;0,5;0,1;lagrange;19,8;31;13;0,146894435
r0:1-rho:0.7-M:100-K:0.0005-tau:0.1-n:4;0,0005;100;1000000;200;200;2;0,5;0,01;0,01;4;1;10;0,7;0,5;0,1;lagrange;19,8;87;6;0,135720048
r0:1-rho:0.7-M:100-K:0.0003-tau:0.1-n:3;0,0003;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,7;0,5;0,1;lagrange;20,3;79;3;0,135398644
r0:1-rho:0.7-M:100-K:0.001-tau:0.5-n:5;0,001;100;1000000;200;200;2;0,5;0,01;0,01;5;1;10;0,7;0,5;0,5;lagrange;20,3;36;8;0,144023182
r0:1-rho:0.6-M:100-K:0.0003-tau:1-n:4;0,0003;100;1000000;200;200;2;0,5;0,01;0,01;4;1;10;0,6;0,5;1;lagrange;20,4;42;6;0,140550407
r0:1-rho:0.7-M:100-K:0.0003-tau:1-n:5;0,0003;100;1000000;200;200;2;0,5;0,01;0,01;5;1;10;0,7;0,5;1;lagrange;20,5;65;5;0,146219842
r0:1-rho:0.7-M:100-K:0.0007-tau:1-n:7;0,0007;100;1000000;200;200;2;0,5;0,01;0,01;7;1;10;0,7;0,5;1;lagrange;20,5;51;6;0,151976526
r0:1-rho:0.6-M:100-K:0.0005-tau:1-n:4;0,0005;100;1000000;200;200;2;0,5;0,01;0,01;4;1;10;0,6;0,5;1;lagrange;20,9;48;6;0,143463124
r0:1-rho:0.8-M:100-K:0.0005-tau:0.1-n:4;0,0005;100;1000000;200;200;2;0,5;0,01;0,01;4;1;10;0,8;0,5;0,1;lagrange;21;59;4;0,144532254
r0:1-rho:0.8-M:100-K:0.0005-tau:0.5-n:5;0,0005;100;1000000;200;200;2;0,5;0,01;0,01;5;1;10;0,8;0,5;0,5;lagrange;21,2;37;8;0,150798871
r0:1-rho:0.7-M:100-K:0.0003-tau:0.5-n:4;0,0003;100;1000000;200;200;2;0,5;0,01;0,01;4;1;10;0,7;0,5;0,5;lagrange;21,3;84;7;0,145904882
r0:1-rho:0.7-M:100-K:0.0005-tau:1-n:3;0,0005;100;1000000;200;200;2;0,5;0,01;0,01;3;1;10;0,7;0,5;1;lagrange;21,6;95;4;0,144908118
r0:1-rho:0.7-M:100-K:0.0003-tau:1-n:4;0,0003;100;1000000;200;200;2;0,5;0,01;0,01;4;1;10;0,7;0,5;1;lagrange;22;71;7;0,151004915
r0:1-rho:0.6-M:100-K:0.0003-tau:0.1-n:5;0,0003;100;1000000;200;200;2;0,5;0,01;0,01;5;1;10;0,6;0,5;0,1;lagrange;22,1;42;7;0,157315759
