Name;M;M1;N;X0;eps;h;n;r0;repetition;rho;sigma;tipo;average;max;min;timeSGD
N:200-n:8-r0:1-rho:0.6-M:100;100;1000000;200;0,5;0,01;0,01;8;1;100;0,6;0,5;lagrange;36,53;196;8;0,286757984
N:200-n:8-r0:1-rho:0.6-M:10;10;1000000;200;0,5;0,01;0,01;8;1;100;0,6;0,5;lagrange;194,97;836;27;0,896512071
N:200-n:8-r0:1-rho:0.6-M:1;1;1000000;200;0,5;0,01;0,01;8;1;100;0,6;0,5;lagrange;2167,66;4999;391;7.737.694.066.069.960
N:200-n:8-r0:5-rho:0.8-M:100;100;1000000;200;0,5;0,01;0,01;8;5;100;0,8;0,5;lagrange;38,92;222;7;0,30731597
N:200-n:8-r0:5-rho:0.8-M:10;10;1000000;200;0,5;0,01;0,01;8;5;100;0,8;0,5;lagrange;244,61;682;42;11.351.867.001.900.200
N:200-n:8-r0:5-rho:0.8-M:1;1;1000000;200;0,5;0,01;0,01;8;5;100;0,8;0,5;lagrange;2189,32;4999;486;7.821.650.719.850.000
N:200-n:8-r0:5-rho:0.9-M:100;100;1000000;200;0,5;0,01;0,01;8;5;100;0,9;0,5;lagrange;42,57;189;8;0,336433618
N:200-n:8-r0:5-rho:0.7-M:10;10;1000000;200;0,5;0,01;0,01;8;5;100;0,7;0,5;lagrange;309,05;962;53;1.433.905.820.250.000
N:200-n:8-r0:1-rho:0.7-M:1;1;1000000;200;0,5;0,01;0,01;8;1;100;0,7;0,5;lagrange;2320,44;4999;189;8.272.968.101.649.960
N:200-n:8-r0:5-rho:0.7-M:100;100;1000000;200;0,5;0,01;0,01;8;5;100;0,7;0,5;lagrange;42,87;252;11;0,337121657
N:200-n:8-r0:1-rho:0.7-M:10;10;1000000;200;0,5;0,01;0,01;8;1;100;0,7;0,5;lagrange;334,25;2507;26;15.398.185.453.999.700
N:200-n:8-r0:5-rho:0.9-M:1;1;1000000;200;0,5;0,01;0,01;8;5;100;0,9;0,5;lagrange;2341,22;4999;321;8.385.705.144.979.940
N:200-n:8-r0:5-rho:0.6-M:100;100;1000000;200;0,5;0,01;0,01;8;5;100;0,6;0,5;lagrange;45,63;130;8;0,358271666
N:200-n:8-r0:5-rho:0.9-M:10;10;1000000;200;0,5;0,01;0,01;8;5;100;0,9;0,5;lagrange;371,32;3884;48;1.737.467.878.230.010
N:200-n:8-r0:5-rho:0.7-M:1;1;1000000;200;0,5;0,01;0,01;8;5;100;0,7;0,5;lagrange;3118,26;4999;774;11.156.023.750.519.900
N:200-n:8-r0:1-rho:0.7-M:100;100;1000000;200;0,5;0,01;0,01;8;1;100;0,7;0,5;lagrange;55,27;416;9;0,431646141
N:200-n:8-r0:5-rho:0.6-M:10;10;1000000;200;0,5;0,01;0,01;8;5;100;0,6;0,5;lagrange;441,3;1088;153;20.333.011.551.699.700
N:200-n:8-r0:1-rho:0.8-M:1;1;1000000;200;0,5;0,01;0,01;8;1;100;0,8;0,5;lagrange;3285,4;4999;257;11.725.117.045.160.000
N:200-n:8-r0:1-rho:0.8-M:100;100;1000000;200;0,5;0,01;0,01;8;1;100;0,8;0,5;lagrange;97,94;1165;11;0,763579358
N:200-n:8-r0:1-rho:0.8-M:10;10;1000000;200;0,5;0,01;0,01;8;1;100;0,8;0,5;lagrange;859,67;4999;41;3.973.949.562.630.000
N:200-n:8-r0:1-rho:0.9-M:1;1;1000000;200;0,5;0,01;0,01;8;1;100;0,9;0,5;lagrange;4138,32;4999;348;1.477.630.113.266.000
N:200-n:8-r0:1-rho:0.9-M:100;100;1000000;200;0,5;0,01;0,01;8;1;100;0,9;0,5;lagrange;274,83;4999;18;2.143.278.042.399.970
N:200-n:8-r0:1-rho:0.9-M:10;10;1000000;200;0,5;0,01;0,01;8;1;100;0,9;0,5;lagrange;2359,33;4999;39;10.874.976.184.490.000
N:200-n:8-r0:5-rho:0.6-M:1;1;1000000;200;0,5;0,01;0,01;8;5;100;0,6;0,5;lagrange;4525,23;4999;1350;1.614.258.838.931.000
N:200-n:7-r0:5-rho:0.8-M:100;100;1000000;200;0,5;0,01;0,01;7;5;100;0,8;0,5;lagrange;34,88;145;11;0,267572205
N:200-n:7-r0:1-rho:0.6-M:10;10;1000000;200;0,5;0,01;0,01;7;1;100;0,6;0,5;lagrange;210,92;1163;26;0,974292976
N:200-n:7-r0:1-rho:0.6-M:1;1;1000000;200;0,5;0,01;0,01;7;1;100;0,6;0,5;lagrange;1968,59;4999;330;701.695.554.468.999
N:200-n:7-r0:1-rho:0.6-M:100;100;1000000;200;0,5;0,01;0,01;7;1;100;0,6;0,5;lagrange;36,55;233;8;0,277861073
N:200-n:7-r0:5-rho:0.7-M:10;10;1000000;200;0,5;0,01;0,01;7;5;100;0,7;0,5;lagrange;280,71;731;59;12.913.087.550.700.500
N:200-n:7-r0:5-rho:0.9-M:1;1;1000000;200;0,5;0,01;0,01;7;5;100;0,9;0,5;lagrange;2107,45;4999;283;7.516.888.332.960.000
N:200-n:7-r0:5-rho:0.7-M:100;100;1000000;200;0,5;0,01;0,01;7;5;100;0,7;0,5;lagrange;39,02;122;8;0,299251092
N:200-n:7-r0:5-rho:0.9-M:10;10;1000000;200;0,5;0,01;0,01;7;5;100;0,9;0,5;lagrange;286,88;1315;41;13.184.359.853.999.900
