Name;K;M;N;T;X0;delta;n;r0;rho;tau;average;max;min;timeSGD
r0:10-rho:0.7-M:1000;0;1000;10;0,1;1;0,8;3;10;0,7;1;43,9;51;37;0,042105068
r0:10-rho:0.7-M:100;0;100;10;0,1;1;0,8;3;10;0,7;1;45,5;63;34;0,016194693
r0:10-rho:0.7-M:10;0;10;10;0,1;1;0,8;3;10;0,7;1;44,4;101;26;0,012913437
r0:10-rho:0.7-M:1;0;1;10;0,1;1;0,8;3;10;0,7;1;231,7;663;80;0,056759171
r0:10-rho:0.6-M:1000;0;1000;10;0,1;1;0,8;3;10;0,6;1;26,3;31;22;0,025536062
r0:10-rho:0.6-M:100;0;100;10;0,1;1;0,8;3;10;0,6;1;38,1;58;24;0,013627043
r0:10-rho:0.6-M:10;0;10;10;0,1;1;0,8;3;10;0,6;1;43,8;77;23;0,012838732
r0:10-rho:0.6-M:1;0;1;10;0,1;1;0,8;3;10;0,6;1;205,7;489;76;0,050154126
r0:5-rho:0.7-M:1000;0;1000;10;0,1;1;0,8;3;5;0,7;1;299,9;318;277;0,284322605
r0:5-rho:0.7-M:100;0;100;10;0,1;1;0,8;3;5;0,7;1;302,4;383;240;0,107525711
r0:5-rho:0.7-M:10;0;10;10;0,1;1;0,8;3;5;0,7;1;287,6;364;216;0,083563136
r0:5-rho:0.7-M:1;0;1;10;0,1;1;0,8;3;5;0,7;1;613,2;1612;219;0,14978669
r0:5-rho:0.6-M:1000;0;1000;10;0,1;1;0,8;3;5;0,6;1;131,4;143;118;0,124289168
r0:5-rho:0.6-M:100;0;100;10;0,1;1;0,8;3;5;0,6;1;133,6;181;104;0,047122771
r0:5-rho:0.6-M:10;0;10;10;0,1;1;0,8;3;5;0,6;1;173,1;302;97;0,050473878
r0:5-rho:0.6-M:1;0;1;10;0,1;1;0,8;3;5;0,6;1;297,2;591;90;0,072514157
r0:1-rho:0.7-M:1000;0;1000;10;0,1;1;0,8;3;1;0,7;1;4999;4999;4999;4.755.543.107.300.000
r0:1-rho:0.7-M:100;0;100;10;0,1;1;0,8;3;1;0,7;1;4999;4999;4999;17.703.788.460.999.900
r0:1-rho:0.7-M:10;0;10;10;0,1;1;0,8;3;1;0,7;1;4999;4999;4999;14.464.274.430.000.000
r0:1-rho:0.7-M:1;0;1;10;0,1;1;0,8;3;1;0,7;1;4999;4999;4999;12.218.584.890.999.900
r0:1-rho:0.6-M:1000;0;1000;10;0,1;1;0,8;3;1;0,6;1;4999;4999;4999;4.758.142.161.700.000
r0:1-rho:0.6-M:100;0;100;10;0,1;1;0,8;3;1;0,6;1;4999;4999;4999;1.777.060.632.199.990
r0:1-rho:0.6-M:10;0;10;10;0,1;1;0,8;3;1;0,6;1;4999;4999;4999;14.555.441.458.000.000
r0:1-rho:0.6-M:1;0;1;10;0,1;1;0,8;3;1;0,6;1;4999;4999;4999;12.223.932.223.000.000
T=0.1;0;;10;0,1;1;0,8;3;;;1;;;;
r0:5-rho:0.7-M:1000;0;1000;50;0,5;1;0,8;3;5;0,7;1;110,5;152;93;0,527471613
